[2026-04-06 23:04:31] INFO     binance_bot — ✅ Telegram бот підключено — слухаємо команди
[2026-04-06 23:04:32] DEBUG    binance_bot — BNBUSDT: 24h обсяг = 63458214624 USDT
[2026-04-06 23:04:32] DEBUG    binance_bot — XRPUSDT: 24h обсяг = 67340356445 USDT
[2026-04-06 23:04:32] DEBUG    binance_bot — SOLUSDT: 24h обсяг = 365341419 USDT
[2026-04-06 23:04:32] DEBUG    binance_bot — ETHUSDT: 24h обсяг = 98110514527 USDT
[2026-04-06 23:04:33] DEBUG    binance_bot — AVAXUSDT: 24h обсяг = 274796852 USDT
[2026-04-06 23:04:33] INFO     binance_bot — 📊 Найактивніша пара: ETHUSDT (98110514527 USDT за 24г)
[2026-04-06 23:04:33] INFO     binance_bot — 🎯 Активна пара: ETHUSDT | Всі пари: BNBUSDT, XRPUSDT, SOLUSDT, ETHUSDT, AVAXUSDT
[2026-04-06 23:04:33] INFO     binance_bot — 🔄 Запускаємо торговий цикл (інтервал: 60 сек)…
[2026-04-06 23:04:33] INFO     binance_bot — ─── Скан #1 (20:04:33 UTC) ───
[2026-04-06 23:04:33] INFO     binance_bot — 📌 Стартовий торговий баланс дня: 100.0000 USDT
[2026-04-06 23:04:33] DEBUG    binance_bot — [BNBUSDT] LONG відхилено: EMA OK, RSI=54.7 OK, але MACD не перетинає вгору
[2026-04-06 23:04:33] INFO     binance_bot — 📊 [BNBUSDT] Ціна=607.28 | EMA21/EMA50 ⬆️ UP | RSI=54.7 | MACD diff=0.0687 | → немає (LONG відхилено)
[2026-04-06 23:04:34] DEBUG    binance_bot — [XRPUSDT] LONG відхилено: EMA OK, RSI=48.4 OK, але MACD не перетинає вгору
[2026-04-06 23:04:34] INFO     binance_bot — 📊 [XRPUSDT] Ціна=1.34 | EMA21/EMA50 ⬆️ UP | RSI=48.4 | MACD diff=-0.0000 | → немає (LONG відхилено)
[2026-04-06 23:04:34] DEBUG    binance_bot — [SOLUSDT] SHORT відхилено: EMA OK, RSI=47.9 OK, але MACD не перетинає вниз
[2026-04-06 23:04:34] INFO     binance_bot — 📊 [SOLUSDT] Ціна=81.81 | EMA21/EMA50 ⬇️ DOWN | RSI=47.9 | MACD diff=0.0090 | → немає (SHORT відхилено)
[2026-04-06 23:04:34] DEBUG    binance_bot — [ETHUSDT] LONG відхилено: EMA OK, RSI=47.1 OK, але MACD не перетинає вгору
[2026-04-06 23:04:34] INFO     binance_bot — 📊 [ETHUSDT] Ціна=2140.92 | EMA21/EMA50 ⬆️ UP | RSI=47.1 | MACD diff=-0.3353 | → немає (LONG відхилено)
[2026-04-06 23:04:35] DEBUG    binance_bot — [AVAXUSDT] SHORT відхилено: EMA OK, RSI=42.7 OK, але MACD не перетинає вниз
